New,Old,Time
0.000584,0.00068,2
0.00026,0.000408,4
0.000752,0.000356,6
0.000644,0.000852,8
0.00056,0.056776,10
0.000006,0.051268,12
0.00112,0.34358,14
0.001444,0.50607,16
0.000676,0.70475,18
0.00064,0.81727,20
0.1742,0.86799,22
0.47257,1.0256,24
0.64254,1.1142,26
0.81823,1.1985,28
0.89385,1.2705,30
1.0052,1.2788,32
1.1427,0.067132,34
1.2596,0.025164,36
1.3659,0.31732,38
1.3853,0.48229,40
1.4159,0.671,42
1.4303,0.77355,44
1.4443,0.85754,46
1.4593,1.0026,48
1.4892,1.0906,50
0.10011,1.2153,52
0.4148,0.1316,54
0.57411,0.19622,56
0.78171,0.44746,58
0.81855,0.71836,60
0.11139,0.86315,62
0.3918,1.0949,64
0.61942,1.1658,66
0.77996,1.2644,68
0.93291,1.369,70
1.1273,1.4922,72
1.2732,1.6302,74
1.2882,1.7392,76
1.3592,1.8485,78
1.4329,1.9456,80
1.5077,1.9552,82
1.5974,1.9736,84
1.6883,2.0116,86
1.7758,2.063,88
1.8525,2.1224,90
2.0465,2.1783,92
2.0605,2.2377,94
2.0711,2.2932,96
2.0814,2.3474,98
2.0918,2.4092,100
2.1029,2.4707,102
2.1151,2.529,104
2.125,2.5801,106
2.1372,2.6249,108
2.1434,2.9297,110
2.1718,3.0607,112
2.2974,3.0683,114
2.4123,3.0751,116
2.4549,3.0808,118
2.5092,3.0891,120
2.5763,3.0982,122
2.638,3.106,124
2.7108,3.1129,126
2.7895,3.12,128
2.8572,3.1274,130
3.0101,3.1346,132
0.1382,3.1415,134
0.29968,3.149,136
0.24214,3.1632,138
0.4914,3.1697,140
0.7461,3.1763,142
0.83571,3.1824,144
1.0291,3.1906,146
1.1688,3.1971,148
1.2779,3.2004,150
1.3014,3.2051,152
1.3697,3.3519,154
1.4325,3.3524,156
1.5134,3.378,158
1.5763,3.5058,160
1.6642,3.6142,162
1.7421,3.7488,164
1.8186,3.8802,166
1.9831,3.967,168
2.0295,3.9952,170
2.0403,4.0604,172
2.0513,4.1238,174
2.0618,4.1934,176
2.0724,4.2595,178
2.0855,4.3202,180
2.0952,4.3841,182
2.1065,4.4596,184
2.1125,4.5278,186
2.1349,4.5912,188
2.2513,4.6642,190
2.3787,4.7416,192
2.4207,4.8271,194
2.4724,4.8936,196
2.5388,4.9599,198
2.6018,5.0258,200
2.6736,5.0916,202
2.7556,5.1553,204
2.8218,5.2308,206
2.9907,5.3069,208
0.13615,5.3868,210
0.31514,5.6139,212
0.32416,5.6577,214
0.49073,0.080404,216
0.70755,0.25916,218
0.81222,0.37824,220
0.85372,0.51074,222
0.94606,0.78164,224
0.15691,0.14258,226
0.39259,0.42493,228
0.62047,0.56507,230
0.78938,0.7155,232
0.96641,0.00722,234
1.1575,0.18962,236
1.2583,0.4279,238
1.2994,0.58921,240
1.3797,0.71814,242
1.4562,0.025148,244
1.5516,0.09058,246
1.6381,0.38481,248
1.7266,0.22524,250
1.8115,0.23847,252
1.9072,0.37258,254
1.9632,0.44305,256
2.0966,0.18552,258
2.1599,0.17028,260
2.1668,0.16992,262
2.1729,0.16867,264
2.1839,0.16936,266
2.1923,0.16912,268
2.2023,0.16898,270
2.2098,0.16947,272
2.2149,0.1692,274
2.2234,0.16896,276
2.2306,0.16873,278
2.3407,0.1694,280
2.4634,0.16929,282
2.6075,0.16898,284
2.7156,0.16977,286
2.7676,0.17063,288
2.836,0.1714,290
2.9058,0.17217,292
2.9958,0.17292,294
3.0642,0.17376,296
3.1333,0.1731,298
3.2171,0.1742,300
3.2953,0.17507,302
3.364,0.17581,304
3.5427,0.17643,306
3.5851,0.17746,308
0.20808,0.17812,310
0.35938,0.17899,312
0.24478,0.17993,314
0.51282,0.18079,316
0.65044,0.1819,318
0.78352,0.18269,320
0.1995,0.18347,322
0.47758,0.18316,324
0.63328,0.18365,326
0.77467,0.18472,328
0.87631,0.18521,330
0.97359,0.18609,332
1.115,0.18639,334
1.198,0.18713,336
1.3227,0.18795,338
0.16488,0.18872,340
0.45607,0.18944,342
0.61882,0.19032,344
0.7683,0.19111,346
0.88188,0.19184,348
0.94934,0.19266,350
1.1121,0.19346,352
1.2057,0.19427,354
1.279,0.19495,356
1.3405,0.1946,358
1.3524,0.19556,360
0.08188,0.19642,362
0.39335,0.1971,364
0.54777,0.19807,366
0.74065,0.19856,368
0.79484,0.19962,370
0.14508,0.2006,372
0.48492,0.20108,374
0.70646,0.20204,376
0.81035,0.20197,378
0.9929,0.20266,380
1.1635,0.20252,382
1.2572,0.20136,384
1.3204,0.20202,386
1.41,0.2019,388
1.4881,0.19968,390
1.5811,0.20028,392
1.6867,0.20002,394
1.8385,0.19985,396
2.0628,0.1994,398
2.1089,0.20043,400
2.1226,0.20028,402
2.137,0.19963,404
2.1507,0.20067,406
2.1648,0.20052,408
2.1794,0.2003,410
2.1891,0.20102,412
2.2146,0.2008,414
2.3264,0.2005,416
2.4615,0.20028,418
2.5397,0.20009,420
2.5962,0.19998,422
2.6609,0.20065,424
2.7257,0.20056,426
2.7995,0.20031,428
2.8723,0.20116,430
2.9365,0.20098,432
3.1082,0.2008,434
2.2957,0.20145,436
0.25239,0.20133,438
0.15899,0.20118,440
0.4436,0.20096,442
0.59222,0.20085,444
0.76504,0.20057,446
0.084244,0.20046,448
0.40725,0.20097,450
0.58421,0.20081,452
0.7776,0.20062,454
0.87848,0.20143,456
1.0231,0.20122,458
1.1659,0.2011,460
1.2889,0.20186,462
1.3069,0.20168,464
1.3705,0.2015,466
1.4827,0.20216,468
1.4959,0.20207,470
1.5114,0.20198,472
1.5279,0.20274,474
1.5428,0.20142,476
1.6895,0.20145,478
1.8251,0.20121,480
1.9159,0.20501,482
1.9915,0.2049,484
2.0701,0.20468,486
0.11126,0.20538,488
0.072824,0.20528,490
0.40826,0.20673,492
0.56175,0.20798,494
0.7735,0.20774,496
0.85934,0.2,498
0.96156,0.2,500
0.98793,0.2,502
1.1011,0.2,504
1.2216,0.2,506
0.31431,0.2,508
0.52577,0.2,510
0.7136,0.2,512
0.8318,0.2,514
0.94444,0.2,516
1.0688,0.2,518
1.1912,0.2,520
1.2962,0.2,522
1.3758,0.2,524
1.3937,0.2,526
1.4422,0.2,528
1.4977,0.2,530
1.557,0.2,532
1.616,0.2,534
1.6876,0.2,536
1.7574,0.2,538
1.8335,0.2,540
1.9439,0.2,542
2.0516,0.2,544
2.0603,0.2,546
2.0684,0.2,548
2.0765,0.2,550
2.0842,0.2,552
2.0938,0.2,554
2.1021,0.2,556
2.1087,0.2,558
2.1191,0.2,560
2.127,0.2,562
2.1338,0.2,564
2.1434,0.2,566
2.1506,0.2,568
2.2291,0.2,570
2.3433,0.2,572
2.3445,0.2,574
2.3814,0.2,576
2.423,0.2,578
2.4769,0.2,580
2.5382,0.2,582
2.6211,0.2,584
2.7946,0.2,586
0.122,0.2,588
0.28639,0.2,590
0.31634,0.2,592
0.48322,0.2,594
0.6887,0.2,596
0.79205,0.2,598
0.078384,0.2,600
0.053304,0.2,602
0.60084,0.2,604
0.82031,0.2,606
0.58653,0.2,608
0.67078,0.2,610
0.46818,0.2,612
0.46822,0.2,614
0.46594,0.2,616
0.46637,0.2,618
0.46748,0.2,620
